name;variation_type;variant;category;brand;reference;barcode;description;description_on_invoice;price;price_supplier;unity;control_stock;vat;vat_isention;vat_isention_norm;product_type;class_;merceria_nortenha;stock_merceria_nortenha;profit_margin;image
Limão Nac.;;;FRUTARIA;Frutas Ribeiros;LIMAOPT01.02;;;Não;1,1193;0,7000;Kg;Sim;6;;;P;ALI;S;0,2750;50.85;https://www.vendus.pt/foto/d4889cbee6eeeb61c0157485ef7126a1.jpg
Maça Golden 70/75;;;FRUTARIA;Frutas Ribeiros;MAÇAGPT01.02;;;Não;1,0886;0,7900;Kg;Sim;6;;;P;;S;-37,9050;30.00;https://www.vendus.pt/foto/961dd6a242d1fa8286ad4d82758a2273.jpg
Maça Granny Smith 75/80;;;FRUTARIA;Frutas Ribeiros;MAÇAGSP01.03;;;Não;1,6500;1,2000;Kg;Sim;6;;;P;;S;-0,2700;29.72;https://www.vendus.pt/foto/b60365df4ca0929154c9173ee388724d.jpg
Maça Fuji 70/75;;;FRUTARIA;Frutas Ribeiros;VMAC71-24030185;;;Não;2,0627;1,2900;Kg;Sim;6;;;P;ALI;S;-14,3400;50.85;https://www.vendus.pt/foto/2312b50c0bd1f21dfbe04949286ec51c.jpg
Manga Palmer;;;FRUTARIA;;MANGA PB01.10;;;Não;5,9254;4,3000;Kg;Sim;6;;;P;;S;-14,9950;30.00;https://www.vendus.pt/foto/951993c38a0459fcfb7d55b37056be7f.jpg
Morango;;;FRUTARIA;Frutas Ribeiros;MORANES01.02;;;Não;4,4500;3,1800;Kg;Sim;6;;;P;;S;-19,9460;32.02;https://www.vendus.pt/foto/08d39cf25b2074f6dd1d3e45f2424218.jpg
Pera Rocha 65/70;;;FRUTARIA;Frutas Ribeiros;PERARCP01.03;;;Não;2,4500;1,7500;Kg;Sim;6;;;P;;S;-8,9800;32.08;
Alface Frisada;;;LEGUMES;Frutas Ribeiros;ALFACEF02.01;;;Não;0,9400;0,6800;Kg;Sim;6;;;P;ALI;S;-4,3300;30.41;https://www.vendus.pt/foto/9a040b4956579ad03f172376ef8508e9.jpg
Cebola;;;LEGUMES;Frutas Ribeiros;CEBOLIP01.44;;;Não;1,9000;1,3900;Kg;Sim;6;;;P;ALI;S;-21,4150;28.95;https://www.vendus.pt/foto/7774bbe3f9e9031600e42d50625bed34.png
Abobora;;;LEGUMES;Frutas Ribeiros;ABOBARA01.01;;;Não;1,1713;0,8800;Kg;Sim;6;;;P;ALI;S;2,8500;25.57;https://www.vendus.pt/foto/3091902739b2feb850dedf2b021561aa.jpg
Batata Doce Nacional;;;LEGUMES;Frutas Ribeiros;BATADPT01.02;;;Não;1,3642;0,9900;Kg;Sim;6;;;P;ALI;S;-6,9350;30.00;https://www.vendus.pt/foto/a578f870942775dc40010ecc2e01116f.png
Kiwi Nacional  30/33;;;FRUTARIA;Frutas Ribeiros;VKIW79-24030133;;;Não;2,1359;1,5500;Kg;Sim;6;;;P;;S;-16,6300;30.00;https://www.vendus.pt/foto/5e772c582b07467a33823bf56e1f778c.jpg
Brócolo imp.;;;LEGUMES;Frutas Ribeiros;VBRO80-2403012;;;Não;1,9300;1,4000;Kg;Sim;6;;;P;ALI;S;-7,4950;30.05;https://www.vendus.pt/foto/bb8715b839293d082591d014fe168332.jpg
Couve Flor Nac.;;;LEGUMES;Frutas Ribeiros;VCOU81-24030185;;;Não;1,9900;1,4800;Kg;Sim;6;;;P;ALI;S;-17,2000;26.85;https://www.vendus.pt/foto/9a41b52a3a32b614ab6c96a601e7395f.jpg
Feijão Verde Imp;;;LEGUMES;Frutas Ribeiros;VFEI82-24030160;;;Não;4,1064;2,9800;Kg;Sim;6;;;P;ALI;S;-9,1300;30.00;https://www.vendus.pt/foto/be4cd58bf239f33adf022b1db913f39b.jpg
Pimento Verde Imp.;;;LEGUMES;Frutas Ribeiros;VPIM83-24030177;;;Não;2,8938;2,1000;Kg;Sim;6;;;P;ALI;S;-2,0150;30.00;https://www.vendus.pt/foto/60a4401cb5c15bcf70c5ac443c5f7658.png
Pimento Vermelho Imp.;;;LEGUMES;Frutas Ribeiros;VPIM84-24030163;;;Não;2,5493;1,8500;Kg;Sim;6;;;P;ALI;S;-7,0200;30.00;https://www.vendus.pt/foto/fe0f22c53fed96550005b80e30d2c40e.png
Couve Coração;;;LEGUMES;Frutas Ribeiros;VCOU85-24030130;;;Não;0,7855;0,5700;Kg;Sim;6;;;P;;S;-54,0600;30.01;https://www.vendus.pt/foto/4abed493ccd803e1f124a239a7606587.png
Couve Penca;;;LEGUMES;Frutas Ribeiros;VCOU86-24030133;;;Não;1,0748;0,7800;Kg;Sim;6;;;P;ALI;S;-21,9050;30.00;https://www.vendus.pt/foto/c31de7cf4a7ce68f109a25d24f5431a4.jpg
Alho Francês;;;LEGUMES;Frutas Ribeiros;VALH87-24030183;;;Não;1,8603;1,3500;Kg;Sim;6;;;P;ALI;S;-1,9100;30.00;https://www.vendus.pt/foto/ec194c5fb7836178424b5d4a16b5f937.jpg
Curgete  Imp.;;;LEGUMES;Frutas Ribeiros;VCUR88-24030171;;;Não;1,3642;0,9900;Kg;Sim;6;;;P;ALI;S;-16,3950;30.00;https://www.vendus.pt/foto/333669e872c2cf66402b4b3f8bab472c.jpg
Pepino Imp.;;;LEGUMES;Frutas Ribeiros;VPEP89-24030124;;;Não;1,5158;1,1000;Kg;Sim;6;;;P;;S;-3,9450;30.00;https://www.vendus.pt/foto/9d5347316d4f71d5d1c0f1c12ceda91e.jpeg
Tomate coração de Boi;;;LEGUMES;Frutas Ribeiros;VTOM90-24030153;;;Não;2,4804;1,8000;Kg;Sim;6;;;P;ALI;S;-12,4950;30.00;https://www.vendus.pt/foto/4d9a995f6dcb429e1d77ca97c3255ee6.png
Tomate Chucha Imp.;;;LEGUMES;Frutas Ribeiros;VTOM91-24030141;;;Não;1,8603;1,3500;Kg;Sim;6;;;P;;S;-10,4600;30.00;https://www.vendus.pt/foto/89234b82ef3aa718f174ed5357e7ede3.png
Tomate Liso;;;LEGUMES;Frutas Ribeiros;VTOM92-24030184;;;Não;1,3000;0,9500;Kg;Sim;6;;;P;;S;-19,6690;29.10;https://www.vendus.pt/foto/ede94497075dedf616618741baa5925c.jpg
Alho Seco;;;LEGUMES;Frutas Ribeiros;VALH93-24030129;;;Não;5,2500;3,8000;Kg;Sim;6;;;P;ALI;S;-6,8650;30.34;https://www.vendus.pt/foto/576b9d9e7da35ca5fbd08c9bfdd4e076.jpg
Batata Branca Lavada;;;LEGUMES;Frutas Ribeiros;VBAT94-24030179;;;Não;0,8100;0,5600;Kg;Sim;6;;;P;ALI;S;12,5050;36.46;https://www.vendus.pt/foto/e0476495e7f1d1a085499224f39e4fce.jpg
Batata Vermelha Lavada;;;LEGUMES;Frutas Ribeiros;VBAT95-24030173;;;Não;0,8100;0,6000;Kg;Sim;6;;;P;ALI;S;20,0000;27.36;https://www.vendus.pt/foto/76c97ca6b9b774d1f276e86f95b553ff.jpg
Batata Vermelha Miúda Lavada;;;LEGUMES;Frutas Ribeiros;VBAT96-24030178;;;Não;1,1437;0,8300;Kg;Sim;6;;;P;ALI;S;-12,9950;30.00;https://www.vendus.pt/foto/76c9aec2054dbc33ee429a3da18eaeb8.jpg
Cebola Media;;;LEGUMES;Frutas Ribeiros;VCEB97-24030190;;;Não;1,0335;0,7500;Kg;Sim;6;;;P;ALI;S;-51,1850;30.00;https://www.vendus.pt/foto/f8d67936eeb1474603cf9655851640c5.jpeg
Cenoura;;;LEGUMES;Frutas Ribeiros;VCEN100-24030198;;;Não;0,9508;0,6900;Kg;Sim;6;;;P;ALI;S;-22,3550;30.00;https://www.vendus.pt/foto/e7b23b69291b13f979dae863022a63d6.jpg
Gás Normal;;;UTILITARIOS;Rubis;VGAS99-2403019;;;Não;31,0000;21,0000;Uni;Sim;23;;;P;;S;-5,0000;20.02;https://www.vendus.pt/foto/cd02c61d9e9620db9d150f0b6f06c6a9.png
Gás Industrial;;;UTILITARIOS;Rubis;VGAS100-24030167;;;Não;31,0001;2,0000;Uni;Sim;23;;;P;;S;0,0000;1,160.17;https://www.vendus.pt/foto/af37c52bb46fb645a2e54838ddf1f271.png
Cacetinho Integral;;;PADARIA;Santos;VCAC101-24030139;;;Não;0,1500;0,1000;Uni;Sim;6;;;P;;S;-55,0000;41.51;https://www.vendus.pt/foto/b799da483d007bc007521a7d4f80591f.jpg
Broa de Molhadinha;;;PADARIA;Santos;VBRO102-24030176;8480000145772;;Sim;2,3000;2,0140;Kg;Sim;6;;;P;ALI;S;-98,2850;7.74;https://www.vendus.pt/foto/9fc6d930d1a3a90a102e5cd26d0e1534.jpg
Broa de Mistura;;;PADARIA;Odisseia;VBRO103-24030172;8480000145772;;Sim;1,2000;0,6360;Kg;Sim;6;;;P;ALI;S;-6,7500;78.00;https://www.vendus.pt/foto/9fc6ade6b1e8c6ec0cc5a3ed3ec30e58.jpg
Padornelo;;;PADARIA;Padaria Coimbra;VPAD104-24030193;;;Não;0,4500;0,3500;Uni;Sim;6;;;P;;S;-50,0000;21.29;https://www.vendus.pt/foto/095b70e4e1d0ebc688fdad04af34bf94.jpg
Biquinha;;;PADARIA;Midouro;VBRO105-2403019;;;Não;0,1500;0,1250;Uni;Sim;6;;;P;;S;-262,0000;13.21;https://www.vendus.pt/foto/7733b2954cbe0b9b2214bf25c83305a5.png
Pão Molete;;;PADARIA;Odisseia;VPAO106-24030155;;;Não;0,1500;0,1325;Uni;Sim;6;;;P;;S;-2801,0000;6.80;https://www.vendus.pt/foto/5ac5594c8d29b7cb9885486ddad8a85a.jpg
Saca Branca;;;UTILITARIOS;;VSAC107-24030128;;;Não;0,0953;0,0500;Uni;Sim;23;;;P;;S;355,0000;54.96;
Alheira de Mirandela;;;ENCHIDOS;Amil;VALH108-24030150;2900756002045;;Não;6,9777;4,7500;Kg;Sim;13;;;P;ALI;S;13,9180;30.00;https://www.vendus.pt/foto/49cba56f4e91e72366c620590c92b46d.jpg
Chouriço de Colorau;;;ENCHIDOS;Telbac;VCHO109-24030197;2901050002588;;Não;5,5166;3,4500;Kg;Sim;23;;;P;ALI;S;1,5200;30.00;
Chouriço de Vinho;;;ENCHIDOS;Telbac;VCHO110-2403014;2901060002448;;Não;5,3407;3,3400;Kg;Sim;23;;;P;ALI;S;2,9740;30.00;
Bacon Fumado;;;ENCHIDOS;Telbac;VBAC111-24030197;2901316002802;;Não;11,9925;7,5000;Kg;Sim;23;;;P;ALI;S;0,6350;30.00;
Chourição Colorão;;;ENCHIDOS;Telbac;VCHO112-24030147;2975220013605;;Não;6,3320;3,9600;Kg;Sim;23;;;P;ALI;S;-0,6300;30.00;
Fiambre Perna;;;FIAMBRE | QUEIJO;Seara;VFIA113-24030140;2927889038048;;Não;6,5900;4,7000;Kg;Sim;6;;;P;ALI;S;-12,8360;32.28;
Salpicão do Cachaço;;;ENCHIDOS;Fumeiros Ribeiro;VSAL114-24030153;2900009016409;;Não;19,1880;12,0000;Kg;Sim;23;;;P;ALI;S;1,2300;30.00;
Atum conserva Óleo de Girassol;;;CONSERVAS;Lucky;VATU115-24030153;8410131854335;;Não;0,7579;0,5500;Uni;Sim;6;;;P;ALI;S;0,0000;30.00;https://www.vendus.pt/foto/3f4758fe1304253fc8243349b45ca708.jpg
Sardinha conserva Tomate;;;CONSERVAS;Rianxeira;VSAR116-24030165;8410131019758;;Não;1,1713;0,8500;Uni;Sim;6;;;P;ALI;S;23,0000;30.00;
Sardinha em Azeite;;;CONSERVAS;Rianxeira;VSAR117-24030189;8410131110042;;Não;1,1713;0,8500;Uni;Sim;6;;;P;ALI;S;21,0000;30.00;
Batata Pre-Frita 1 kg;;;CONGELADOS LEGUMES;Mydibel;VBAT118-24030150;5413081100074;;Não;2,8782;1,8000;Uni;Sim;23;;;P;ALI;S;7,0000;30.00;
Brócolos 300 g;;;CONGELADOS LEGUMES;Gelcampo;VBRO119-2403011;5602003000350;;Não;0,8500;0,6000;Uni;Sim;6;;;P;ALI;S;5,0000;33.65;
Cenoura Baby;;;CONGELADOS LEGUMES;Gelcampo;VCEN120-24030164;;;Não;0,7500;0,5300;Uni;Sim;6;;;P;ALI;S;5,0000;33.50;
Grelos 1 kg;;;CONGELADOS LEGUMES;Frip;VGRE121-24030158;5601315210020;;Não;2,9917;2,2400;Kg;Sim;6;;;P;ALI;S;10,0000;26.00;
